id,dataset,method,nRF,wRF,KF
935_90_tips_250,Cherry,window-rate+fastrfs,0.2413793103448276,9.6069437975,2.8518847881727525
1380_80_tips_250,Cherry,window-rate+fastrfs,0.1038961038961039,19.605363145399995,4.322556607147317
4491_80_tips_250,Cherry,window-rate+fastrfs,0.1558441558441558,16.322613499299994,4.691294664588544
399_100_tips_250,Cherry,window-rate+fastrfs,0.0824742268041237,6.2363398346000025,1.4247070574651115
5319_100_tips_250,Cherry,window-rate+fastrfs,0.1030927835051546,23.83513884730001,9.550594600446278
1818_100_tips_250,Cherry,window-rate+fastrfs,0.1752577319587628,5.888526915699998,1.6482622149145736
5057_100_tips_250,Cherry,window-rate+fastrfs,0.2164948453608247,105.5333471162,22.079293670276915
3059_90_tips_250,Cherry,window-rate+fastrfs,0.1034482758620689,7.381036521299999,1.6966355661833408
3149_80_tips_250,Cherry,window-rate+fastrfs,0.0519480519480519,8.8794081011,2.404067183048137
5476_90_tips_250,Cherry,window-rate+fastrfs,0.1149425287356321,54.648489658,16.428482814971495
2531_90_tips_250,Cherry,window-rate+fastrfs,0.1149425287356321,32.801765337800006,11.16507818180636
4025_100_tips_250,Cherry,window-rate+fastrfs,0.2371134020618556,13.959696393099996,3.4108483774275267
3870_80_tips_250,Cherry,window-rate+fastrfs,0.0909090909090909,3.6483236604,1.033367118281949
93_100_tips_250,Cherry,window-rate+fastrfs,0.0515463917525773,2.7281393989,0.9251777302002566
1299_80_tips_250,Cherry,window-rate+fastrfs,0.1038961038961039,13.435996156800002,5.429981531444726
2223_90_tips_250,Cherry,window-rate+fastrfs,0.1839080459770115,11.397468558300003,2.786743088849835
909_100_tips_250,Cherry,window-rate+fastrfs,0.134020618556701,9.633082716999995,2.2821157466518422
5850_90_tips_250,Cherry,window-rate+fastrfs,0.0459770114942528,30.869946023399997,11.83487517638091
4910_80_tips_250,Cherry,window-rate+fastrfs,0.0909090909090909,8.025476722799995,2.416990569455508
351_90_tips_250,Cherry,window-rate+fastrfs,0.2298850574712643,21.0646005352,6.714494268092905
5906_90_tips_250,Cherry,window-rate+fastrfs,0.1724137931034483,20.8656269688,5.2713440370131535
1793_100_tips_250,Cherry,window-rate+fastrfs,0.1649484536082474,36.59315728789999,11.462166180121685
1167_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,18.21326628100001,5.770150661587461
2999_100_tips_250,Cherry,window-rate+fastrfs,0.2577319587628865,37.83118563440001,10.913275301946706
2784_90_tips_250,Cherry,window-rate+fastrfs,0.1724137931034483,26.4909864401,8.499449874899295
756_80_tips_250,Cherry,window-rate+fastrfs,0.0389610389610389,10.2022661697,3.0133378976807337
5623_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,31.16407412680001,7.299493302754413
5346_80_tips_250,Cherry,window-rate+fastrfs,0.0779220779220779,13.3542181211,3.495251786210571
5878_100_tips_250,Cherry,window-rate+fastrfs,0.2989690721649484,45.502342034099975,11.468006553610357
270_100_tips_250,Cherry,window-rate+fastrfs,0.3505154639175257,108.91120821360002,23.653335699057337
3959_80_tips_250,Cherry,window-rate+fastrfs,0.1038961038961039,1.491028431900001,0.2762638396699985
191_80_tips_250,Cherry,window-rate+fastrfs,0.0389610389610389,0.6921352376000004,0.1271725095834959
3451_90_tips_250,Cherry,window-rate+fastrfs,0.2528735632183908,21.80537550250001,7.885648420670644
5_80_tips_250,Cherry,window-rate+fastrfs,0.0779220779220779,2.055306965,0.3473511950076329
2221_80_tips_250,Cherry,window-rate+fastrfs,0.0259740259740259,5.633002129199999,1.6902149061164369
4774_80_tips_250,Cherry,window-rate+fastrfs,0.0259740259740259,14.5659706104,4.973349905040611
2833_80_tips_250,Cherry,window-rate+fastrfs,0.0779220779220779,15.8940566666,4.446928238700952
4018_100_tips_250,Cherry,window-rate+fastrfs,0.1030927835051546,12.1609562233,3.9077023967898055
358_80_tips_250,Cherry,window-rate+fastrfs,0.1688311688311688,95.13074673549998,21.208170257331822
4064_90_tips_250,Cherry,window-rate+fastrfs,0.1149425287356321,6.483903529099999,1.4602242842146436
5353_80_tips_250,Cherry,window-rate+fastrfs,0.0389610389610389,11.155807443099995,2.339262537298967
4546_90_tips_250,Cherry,window-rate+fastrfs,0.2183908045977011,7.527320271099998,2.06878751124345
3375_90_tips_250,Cherry,window-rate+fastrfs,0.1379310344827586,3.8282903865,1.0772478943777146
526_100_tips_250,Cherry,window-rate+fastrfs,0.1030927835051546,4.374328149700002,0.7128493839703046
2908_90_tips_250,Cherry,window-rate+fastrfs,0.0459770114942528,3.628033243700002,0.7639918888422881
2710_100_tips_250,Cherry,window-rate+fastrfs,0.1546391752577319,59.39354355020001,18.24781478511617
4971_100_tips_250,Cherry,window-rate+fastrfs,0.1958762886597938,86.58023536159999,20.69553070126629
1167_100_tips_250,Cherry,window-rate+fastrfs,0.1958762886597938,47.021321392,12.884404179226593
5239_100_tips_250,Cherry,window-rate+fastrfs,0.0721649484536082,7.0068114785,2.489906044530296
4472_90_tips_250,Cherry,window-rate+fastrfs,0.057471264367816,7.1816510532,1.782649796249201
5099_100_tips_250,Cherry,window-rate+fastrfs,0.1134020618556701,8.8558354581,1.6106136269666185
1541_90_tips_250,Cherry,window-rate+fastrfs,0.1264367816091954,18.3022848078,5.213181883103432
1820_100_tips_250,Cherry,window-rate+fastrfs,0.1752577319587628,20.17566156010001,7.132157621621162
1818_80_tips_250,Cherry,window-rate+fastrfs,0.0779220779220779,8.992528445599998,1.915653126485956
5755_100_tips_250,Cherry,window-rate+fastrfs,0.1752577319587628,11.072776456799996,2.51407493743011
4171_80_tips_250,Cherry,window-rate+fastrfs,0.1298701298701298,29.062659137099985,10.930073706537051
4715_100_tips_250,Cherry,window-rate+fastrfs,0.2371134020618556,5.515896926800002,1.2468648992067697
4858_100_tips_250,Cherry,window-rate+fastrfs,0.0618556701030927,10.648714981000008,2.519724941008634
4282_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,1.483745776999999,0.3124718586940652
3827_90_tips_250,Cherry,window-rate+fastrfs,0.0804597701149425,1.9536691296999995,0.398745834831212
1441_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,5.441097948699999,1.3135693917154474
