id,dataset,method,metric,value
3651_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
2423_100_tips_250,Cherry,PF2_direct,nRF,0.0515463917525773
1746_100_tips_250,Cherry,PF2_direct,nRF,0.0927835051546391
489_80_tips_250,Cherry,PF2_direct,nRF,0.1688311688311688
5725_100_tips_250,Cherry,PF2_direct,nRF,0.0618556701030927
5635_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
5578_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
2463_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
1227_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
924_100_tips_250,Cherry,PF2_direct,nRF,0.1237113402061855
2419_80_tips_250,Cherry,PF2_direct,nRF,0.1168831168831168
4066_100_tips_250,Cherry,PF2_direct,nRF,0.1649484536082474
1364_100_tips_250,Cherry,PF2_direct,nRF,0.2061855670103092
3900_100_tips_250,Cherry,PF2_direct,nRF,0.1443298969072164
5108_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
3228_90_tips_250,Cherry,PF2_direct,nRF,0.1379310344827586
555_100_tips_250,Cherry,PF2_direct,nRF,0.2474226804123711
5302_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
4403_100_tips_250,Cherry,PF2_direct,nRF,0.0927835051546391
4668_90_tips_250,Cherry,PF2_direct,nRF,0.1149425287356321
5678_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
3421_90_tips_250,Cherry,PF2_direct,nRF,0.0804597701149425
4657_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
4684_100_tips_250,Cherry,PF2_direct,nRF,0.2989690721649484
363_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
1452_100_tips_250,Cherry,PF2_direct,nRF,0.1546391752577319
43_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
2112_100_tips_250,Cherry,PF2_direct,nRF,0.2371134020618556
4515_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
5137_90_tips_250,Cherry,PF2_direct,nRF,0.160919540229885
1459_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
5226_90_tips_250,Cherry,PF2_direct,nRF,0.2068965517241379
642_90_tips_250,Cherry,PF2_direct,nRF,0.0344827586206896
4868_90_tips_250,Cherry,PF2_direct,nRF,0.1724137931034483
2293_100_tips_250,Cherry,PF2_direct,nRF,0.134020618556701
2780_100_tips_250,Cherry,PF2_direct,nRF,0.1237113402061855
420_90_tips_250,Cherry,PF2_direct,nRF,0.0459770114942528
3107_100_tips_250,Cherry,PF2_direct,nRF,0.2371134020618556
4568_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
5175_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
1787_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
3699_90_tips_250,Cherry,PF2_direct,nRF,0.1149425287356321
2639_90_tips_250,Cherry,PF2_direct,nRF,0.1494252873563218
1397_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
3666_100_tips_250,Cherry,PF2_direct,nRF,0.2164948453608247
4947_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
4162_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
3186_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
404_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
1540_80_tips_250,Cherry,PF2_direct,nRF,0.0259740259740259
1195_80_tips_250,Cherry,PF2_direct,nRF,0.0129870129870129
3645_90_tips_250,Cherry,PF2_direct,nRF,0.2068965517241379
1070_90_tips_250,Cherry,PF2_direct,nRF,0.1149425287356321
3323_90_tips_250,Cherry,PF2_direct,nRF,0.2068965517241379
4863_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
4392_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
5438_100_tips_250,Cherry,PF2_direct,nRF,0.3092783505154639
5978_80_tips_250,Cherry,PF2_direct,nRF,0.2207792207792207
1564_100_tips_250,Cherry,PF2_direct,nRF,0.134020618556701
1384_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
5655_100_tips_250,Cherry,PF2_direct,nRF,0.0412371134020618
2601_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
2443_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
4031_90_tips_250,Cherry,PF2_direct,nRF,0.160919540229885
1067_100_tips_250,Cherry,PF2_direct,nRF,0.3402061855670103
2452_100_tips_250,Cherry,PF2_direct,nRF,0.3814432989690721
5695_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
2369_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
2092_100_tips_250,Cherry,PF2_direct,nRF,0.0515463917525773
5729_100_tips_250,Cherry,PF2_direct,nRF,0.1752577319587628
2075_100_tips_250,Cherry,PF2_direct,nRF,0.2164948453608247
718_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
4346_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
4105_80_tips_250,Cherry,PF2_direct,nRF,0.1298701298701298
1448_90_tips_250,Cherry,PF2_direct,nRF,0.2068965517241379
5928_90_tips_250,Cherry,PF2_direct,nRF,0.1494252873563218
4077_100_tips_250,Cherry,PF2_direct,nRF,0.268041237113402
5087_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
1997_90_tips_250,Cherry,PF2_direct,nRF,0.0229885057471264
5540_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
4251_80_tips_250,Cherry,PF2_direct,nRF,0.1168831168831168
124_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
4985_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
4791_90_tips_250,Cherry,PF2_direct,nRF,0.2528735632183908
4771_90_tips_250,Cherry,PF2_direct,nRF,0.0804597701149425
3247_100_tips_250,Cherry,PF2_direct,nRF,0.2268041237113402
184_100_tips_250,Cherry,PF2_direct,nRF,0.2474226804123711
4588_80_tips_250,Cherry,PF2_direct,nRF,0.0129870129870129
4507_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
4474_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
4282_100_tips_250,Cherry,PF2_direct,nRF,0.2164948453608247
2371_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
5492_100_tips_250,Cherry,PF2_direct,nRF,0.1752577319587628
2528_100_tips_250,Cherry,PF2_direct,nRF,0.0927835051546391
2671_90_tips_250,Cherry,PF2_direct,nRF,0.1149425287356321
2462_80_tips_250,Cherry,PF2_direct,nRF,0.0
5342_100_tips_250,Cherry,PF2_direct,nRF,0.0412371134020618
2931_90_tips_250,Cherry,PF2_direct,nRF,0.160919540229885
2051_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
5963_90_tips_250,Cherry,PF2_direct,nRF,0.0459770114942528
2752_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
4463_100_tips_250,Cherry,PF2_direct,nRF,0.1134020618556701
1730_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
516_100_tips_250,Cherry,PF2_direct,nRF,0.2164948453608247
4604_80_tips_250,Cherry,PF2_direct,nRF,0.1298701298701298
1260_80_tips_250,Cherry,PF2_direct,nRF,0.1298701298701298
3198_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
77_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
1333_100_tips_250,Cherry,PF2_direct,nRF,0.134020618556701
1138_90_tips_250,Cherry,PF2_direct,nRF,0.0804597701149425
1458_90_tips_250,Cherry,PF2_direct,nRF,0.1149425287356321
4575_100_tips_250,Cherry,PF2_direct,nRF,0.0927835051546391
4672_80_tips_250,Cherry,PF2_direct,nRF,0.1428571428571428
1725_80_tips_250,Cherry,PF2_direct,nRF,0.1688311688311688
1204_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
4615_100_tips_250,Cherry,PF2_direct,nRF,0.268041237113402
1190_100_tips_250,Cherry,PF2_direct,nRF,0.1649484536082474
2301_90_tips_250,Cherry,PF2_direct,nRF,0.1149425287356321
844_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
3621_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
2438_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
104_90_tips_250,Cherry,PF2_direct,nRF,0.1149425287356321
534_80_tips_250,Cherry,PF2_direct,nRF,0.0129870129870129
1735_80_tips_250,Cherry,PF2_direct,nRF,0.0259740259740259
652_100_tips_250,Cherry,PF2_direct,nRF,0.1546391752577319
3386_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
3385_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
4285_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
4963_80_tips_250,Cherry,PF2_direct,nRF,0.1298701298701298
4646_80_tips_250,Cherry,PF2_direct,nRF,0.1168831168831168
650_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
1249_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
4816_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
3422_100_tips_250,Cherry,PF2_direct,nRF,0.2371134020618556
32_90_tips_250,Cherry,PF2_direct,nRF,0.0804597701149425
2766_80_tips_250,Cherry,PF2_direct,nRF,0.2077922077922078
5145_100_tips_250,Cherry,PF2_direct,nRF,0.1752577319587628
5245_90_tips_250,Cherry,PF2_direct,nRF,0.0459770114942528
4503_90_tips_250,Cherry,PF2_direct,nRF,0.0344827586206896
5931_100_tips_250,Cherry,PF2_direct,nRF,0.0927835051546391
3239_90_tips_250,Cherry,PF2_direct,nRF,0.1379310344827586
3933_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
5134_90_tips_250,Cherry,PF2_direct,nRF,0.0459770114942528
3064_100_tips_250,Cherry,PF2_direct,nRF,0.2371134020618556
2444_90_tips_250,Cherry,PF2_direct,nRF,0.0804597701149425
1859_90_tips_250,Cherry,PF2_direct,nRF,0.1494252873563218
2511_90_tips_250,Cherry,PF2_direct,nRF,0.1494252873563218
1154_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
974_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
3180_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
5265_80_tips_250,Cherry,PF2_direct,nRF,0.0259740259740259
929_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
4635_90_tips_250,Cherry,PF2_direct,nRF,0.1379310344827586
315_100_tips_250,Cherry,PF2_direct,nRF,0.0721649484536082
383_100_tips_250,Cherry,PF2_direct,nRF,0.3711340206185567
2399_90_tips_250,Cherry,PF2_direct,nRF,0.0804597701149425
2106_90_tips_250,Cherry,PF2_direct,nRF,0.1839080459770115
128_100_tips_250,Cherry,PF2_direct,nRF,0.1752577319587628
2922_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
1619_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
5188_100_tips_250,Cherry,PF2_direct,nRF,0.0927835051546391
1196_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
2761_90_tips_250,Cherry,PF2_direct,nRF,0.1724137931034483
282_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
1163_90_tips_250,Cherry,PF2_direct,nRF,0.0804597701149425
948_90_tips_250,Cherry,PF2_direct,nRF,0.1494252873563218
733_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
1363_100_tips_250,Cherry,PF2_direct,nRF,0.134020618556701
5113_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
1666_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
1424_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
4922_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
3230_100_tips_250,Cherry,PF2_direct,nRF,0.3195876288659793
963_100_tips_250,Cherry,PF2_direct,nRF,0.2474226804123711
3218_100_tips_250,Cherry,PF2_direct,nRF,0.2061855670103092
