msa_id	split	fitted_model	best_model_base	has_G	has_I	has_F	gamma_alpha	p_invariant	log_likelihood	aic	bic	total_tree_length	mean_branch_length	median_branch_length	max_root_to_leaf_depth	median_root_to_leaf_depth	n_leaves	n_branches	gap_ratio	informative_site_ratio	num_sequences	alignment_length
2425	train	LG+G4	LG	True	False	False	1.3229		-4990.5204	10005.0408	10051.7073	8.0449597282	0.7313599752909091	0.6606846728	1.9818548221	1.4838375806	7	11	0.100910170162	0.360110803324	7	361
2426	train	LG+G4	LG	True	False	False	1.4001		-1995.0197	4034.0394	4089.2783	11.3824344168	0.5420206865142857	0.3163536108	3.2439913765999995	2.0249485277000003	12	21	0.040293040293	0.813186813187	12	91
2428	train	LG+G4	LG	True	False	False	1.1213		-1822.0493	3720.0986	3802.7253	10.6523870044	0.28790235147027027	0.220232408	3.1579087122	2.0210822866	20	37	0.0238461538462	0.861538461538	20	65
2431	train	LG+G4	LG	True	False	False	1.1881		-1787.5377	3591.0755	3615.9714	7.8833896637	1.1261985233857144	0.4868131481	4.4733492314	3.994825638	5	7	0.033734939759	0.307228915663	5	166
2433	train	LG+G4	LG	True	False	False	1.683		-5328.3923	10684.7847	10738.7155	6.2977423376	0.48444171827692306	0.422438217	1.8519489648	1.24967125135	8	13	0.0416666666667	0.591954022989	8	348
2434	train	LG	LG	False	False	False			-5190.5809	10419.1619	10488.4924	10.11898584	0.5325782021052632	0.4115815933	2.7052180325000004	1.5934782913	11	19	0.225032010243	0.757042253521	11	284
2436	train	LG+G4	LG	True	False	False	0.8468		-19328.8694	38809.7389	39106.7532	33.3785315655	0.44504708753999994	0.3080962331	4.4722306848999995	2.5992398128	39	75	0.192447045708	0.785326086957	39	368
2437	train	WAG+F+G4	WAG	True	False	True	2.5206		-10672.5291	21507.0581	21773.4078	33.5941733113	0.5507241526442622	0.4255935117	3.8690078864999995	2.67232591965	32	61	0.182607323232	0.873737373737	32	198
2439	train	LG+G4	LG	True	False	False	0.8495		-9963.7295	20047.459	20252.956	30.2195197385	0.5121952498050848	0.3620739039	4.6959146383	3.8809889258999997	31	59	0.192837857041	0.801762114537	31	227
244	train	LG+G4	LG	True	False	False	0.6468		-2064.0152	4208.0303	4325.696	7.2361565803	0.18554247641794872	0.07675176	2.2950530772	0.6403079714000001	21	39	0.292176870748	0.442857142857	21	140
2440	train	LG+G4	LG	True	False	False	1.1555		-1489.7556	2995.5112	3018.2015	7.4151466278	1.0593066611142856	0.750460207	3.1002398257	2.4188110888	5	7	0.015873015873	0.198412698413	5	126
2442	train	WAG+F+G4	WAG	True	False	True	1.1887		-3680.0488	7506.0976	7684.4112	24.6076918471	0.46429607258679245	0.2583721828	3.4167484375	1.7825135746	28	53	0.150420168067	0.823529411765	28	85
2443	train	LG+G4	LG	True	False	False	1.0369		-3236.2988	6488.5975	6518.1743	6.7685584748	0.9669369249714286	0.6855869581	2.7303751102000002	0.9804856433	5	7	0.061744966443	0.0771812080537	5	298
2445	train	LG+F+G4	LG	True	False	True	1.3119		-4703.0776	9464.1552	9579.6893	14.5603067621	1.6178118624555555	1.2815899732	6.2257509605	4.31102397495	6	9	0.209907640638	0.186397984887	6	397
2447	train	WAG	WAG	False	False	False			-2382.2566	4782.5133	4811.6413	4.4013367364	0.4890374151555556	0.3115598513	1.375285412	0.9554919008	6	9	0.052304964539	0.345744680851	6	188
2449	train	LG+F+G4	LG	True	False	True	1.2767		-3169.0323	6408.0646	6521.5258	17.1168741133	1.1411249408866666	1.1462961298	3.8330032274	2.5423439924	9	15	0.177542621987	0.507936507937	9	189
245	train	WAG+G4	WAG	True	False	False	1.1801		-15347.6677	30767.3353	30922.4269	13.8775524425	0.3965014983571429	0.3531961683	3.6759411058000007	1.7754513538	19	35	0.209567634934	0.726775956284	19	549
